Profile Summary
Generated on: 2021-10-26 09:12:24
Msec since Epoch: 1635239544848
Profiled application: host_exe
Target platform: Xilinx
Tool version: 2021.1
XRT build version: 2.11.0
Build version branch: 2021.1
Build version hash: 789dc49cc2c1201f181a0740bd1aa6fa17987091
Build version date: N/A
Target devices: xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0
Flow mode: Software Emulation

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,4,0.143216,0.028584,0.035804,0.051398,
clCreateCommandQueue,1,0.00331,0.00331,0.00331,0.00331,
clCreateContext,1,1.04514,1.04514,1.04514,1.04514,
clCreateKernel,1,0.673513,0.673513,0.673513,0.673513,
clCreateProgramWithBinary,1,15.2723,15.2723,15.2723,15.2723,
clEnqueueMapBuffer,4,0.355867,0.021399,0.0889667,0.171493,
clEnqueueMigrateMemObjects,1,0.011637,0.011637,0.011637,0.011637,
clEnqueueTask,1,0.089464,0.089464,0.089464,0.089464,
clEnqueueUnmapMemObject,4,0.021136,0.001378,0.005284,0.008001,
clFinish,1,0.135204,0.135204,0.135204,0.135204,
clGetDeviceIDs,2,0.002865,0.000864,0.0014325,0.002001,
clGetDeviceInfo,4,0.009687,0.000706,0.00242175,0.005697,
clGetExtensionFunctionAddress,2,0.020556,0.002576,0.010278,0.01798,
clGetExtensionFunctionAddressForPlatform,2,0.007474,0.001048,0.003737,0.006426,
clGetPlatformInfo,14,0.007809,0.000408,0.000557786,0.001157,
clReleaseCommandQueue,1,0.001793,0.001793,0.001793,0.001793,
clReleaseContext,1,0.576302,0.576302,0.576302,0.576302,
clReleaseDevice,4,0.006245,0.00077,0.00156125,0.00318,
clReleaseEvent,2,0.006518,0.001718,0.003259,0.0048,
clReleaseKernel,1,0.135359,0.135359,0.135359,0.135359,
clReleaseMemObject,6,0.038191,0.000625,0.00636517,0.033558,
clReleaseProgram,1,0.001037,0.001037,0.001037,0.001037,
clRetainDevice,4,0.002706,0.000451,0.0006765,0.000899,
clRetainMemObject,2,0.002931,0.000975,0.0014655,0.001956,
clSetKernelArg,4,0.00838,0.000663,0.002095,0.003835,
clWaitForEvents,2,3.83718,0.25436,1.91859,3.58283,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
wide_krnl,1,3.58559,3.58559,3.58559,3.58559,

Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,wide_krnl,wide_kr,1:1:1,1:1:1,1,No,0,1.000000x,3.55043,3.55043,3.55043,3.55043,300,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
26506000,wide_krnl,0,0,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,43.819,3.58559,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
8192,0,0,43.5381,N/A,32.768,N/A,
8192,0,0,47.6156,N/A,16.384,N/A,
57344,0,0,47.6817,N/A,16.384,N/A,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
57344,0,0,47.4561,N/A,16.384,N/A,



Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,3.58559,
CU_CALLS,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|wide_krnl,1,
MIGRATE_MEM,host,1,
MEMORY_USAGE,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|DDR[0],1,
MEMORY_USAGE,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|DDR[1],1,
MEMORY_USAGE,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|DDR[2],1,
MEMORY_USAGE,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|DDR[3],1,
MEMORY_USAGE,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|PLRAM[0],1,
MEMORY_USAGE,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|PLRAM[1],1,
MEMORY_USAGE,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|PLRAM[2],1,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,wide_krnl/m_axi_gmem,32,
KERNEL_COUNT,wide_krnl,1,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
TRACE_MEMORY,all,NA,
MAX_PARALLEL_KERNEL_ENQUEUES,wide_krnl,1,
COMMAND_QUEUE_OOO,26334576,1,
KERNEL_BUFFER_INFO,wide_krnl|a|DDR[0]|1,16384,
KERNEL_BUFFER_INFO,wide_krnl|b|DDR[0]|1,16384,
KERNEL_BUFFER_INFO,wide_krnl|out_r|DDR[0]|1,16384,
MEMORY_TYPE_BIT_WIDTH,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|PLRAM,512,
XRT_INI_SETTING,profile,0,
XRT_INI_SETTING,opencl_summary,1,
XRT_INI_SETTING,opencl_device_counter,1,
XRT_INI_SETTING,timeline_trace,0,
XRT_INI_SETTING,opencl_trace,1,
XRT_INI_SETTING,xrt_trace,0,
XRT_INI_SETTING,native_xrt_trace,1,
XRT_INI_SETTING,xrt_profile,0,
XRT_INI_SETTING,data_transfer_trace,off,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,power_profile_interval_ms,20,
XRT_INI_SETTING,stall_trace,off,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,
XRT_INI_SETTING,trace_file_dump_interval_s,5,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,debug_mode,batch,
XRT_INI_SETTING,aie_trace,0,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,aie_trace_metrics,functions,
XRT_INI_SETTING,aie_profile,0,
XRT_INI_SETTING,aie_profile_interval_us,1000,
XRT_INI_SETTING,aie_profile_core_metrics,heat_map,
XRT_INI_SETTING,aie_profile_memory_metrics,dma_locks,
XRT_INI_SETTING,vitis_ai_profile,0,
XRT_INI_SETTING,sc_profile,0,
BUFFER_RD_ACTIVE_TIME_MS,all,0.09436,
BUFFER_WR_ACTIVE_TIME_MS,all,0.250817,
BUFFER_TX_ACTIVE_TIME_MS,all,4.14607,
APPLICATION_RUN_TIME_MS,all,47.9547,
